Age,Gender,Watched emotional movie in last 12 months,Movie/Book that affected you most recently,How many times watched,When watched most recently,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
21–23,Female,Yes,Aftersun,More than 3 times,More than 6 months ago,4,4,4,4,3,4,3,2,3,2,3.8,2.8
24 or above,Male,Yes,Good Will Hunting,1 time,1–6 months ago,4,2,4,4,3,3,3,2,3,4,3.4,3.0
18–20,Female,Yes,Your Name,2–3 times,Within last 1 month,4,4,4,5,5,3,3,5,3,4,4.4,3.6
18–20,Prefer not to say,Yes,Joker,2–3 times,Within last 1 month,5,3,3,3,4,4,2,5,3,4,3.6,3.6
21–23,Female,Yes,The Florida Project,More than 3 times,Within last 1 month,4,4,4,3,5,4,2,3,4,2,4.0,3.0
18–20,Male,Yes,A Walk to Remember,1 time,More than 6 months ago,2,2,3,1,3,3,3,2,3,3,2.2,2.8
21–23,Female,Yes,Moonlight,1 time,More than 6 months ago,3,4,5,5,5,5,5,5,4,5,4.4,4.8
18–20,Prefer not to say,Yes,Portrait of a Lady on Fire,More than 3 times,Within last 1 month,3,3,2,3,3,4,3,2,1,1,2.8,2.2
21–23,Male,Yes,Portrait of a Lady on Fire,1 time,Within last 1 month,3,3,3,3,4,5,4,3,3,4,3.2,3.8
24 or above,Female,Yes,Casablanca,2–3 times,1–6 months ago,4,2,2,4,1,1,4,1,3,2,2.6,2.2
21–23,Female,Yes,Inception,1 time,More than 6 months ago,5,2,4,4,4,4,3,2,3,3,3.8,3.0
Under 18,Female,Yes,Toy Story 4,2–3 times,1–6 months ago,4,5,4,4,4,3,1,3,4,3,4.2,2.8
18–20,Female,Yes,The Hunger Games,More than 3 times,Within last 1 month,5,5,3,2,4,2,3,2,3,3,3.8,2.6
24 or above,Male,Yes,Ida,2–3 times,1–6 months ago,5,5,5,5,4,5,5,4,5,3,4.8,4.4
21–23,Female,Yes,Waves,1 time,1–6 months ago,3,2,4,4,3,3,3,2,1,3,3.2,2.4
24 or above,Female,Yes,The Elephant Man,1 time,1–6 months ago,4,4,5,5,4,5,5,3,3,3,4.4,3.8
18–20,Female,Yes,Moonlight,1 time,1–6 months ago,5,3,5,4,4,5,4,5,4,4,4.2,4.4
24 or above,Female,Yes,Love Story,More than 3 times,1–6 months ago,4,5,4,5,5,3,3,5,5,4,4.6,4.0
18–20,Male,Yes,The Last Song,1 time,1–6 months ago,1,1,2,1,2,1,1,1,2,1,1.4,1.2
18–20,Male,Yes,La La Land,1 time,1–6 months ago,3,3,4,5,2,3,4,5,3,3,3.4,3.6
24 or above,Female,Yes,Cast Away,1 time,1–6 months ago,3,3,3,3,3,4,4,3,4,3,3.0,3.6
24 or above,Male,Yes,About Time,More than 3 times,Within last 1 month,2,3,4,1,3,2,3,4,2,2,2.6,2.6
Under 18,Female,Yes,Wolfwalkers,2–3 times,More than 6 months ago,3,3,2,2,4,4,4,2,2,3,2.8,3.0
18–20,Male,Yes,To All the Boys I've Loved Before,2–3 times,More than 6 months ago,4,4,5,3,3,5,4,3,4,3,3.8,3.8
21–23,Male,Yes,Prisoners,More than 3 times,1–6 months ago,5,4,5,3,4,5,5,5,5,4,4.2,4.8
18–20,Male,Yes,Eighth Grade,1 time,Within last 1 month,4,3,4,4,5,4,4,3,5,4,4.0,4.0
21–23,Female,Yes,Drive My Car,1 time,1–6 months ago,4,5,5,4,3,2,4,4,4,4,4.2,3.6
24 or above,Prefer not to say,Yes,Gone with the Wind,1 time,Within last 1 month,3,2,3,3,4,3,2,3,2,4,3.0,2.8
21–23,Male,Yes,Good Will Hunting,1 time,Within last 1 month,3,5,3,5,4,3,5,4,3,3,4.0,3.6
21–23,Male,Yes,Waves,2–3 times,1–6 months ago,2,2,4,3,3,1,1,2,3,4,2.8,2.2
18–20,Female,Yes,Spider-Man Into the Spider-Verse,2–3 times,1–6 months ago,5,3,3,5,5,4,4,4,4,3,4.2,3.8
24 or above,Male,Yes,Still Alice,2–3 times,More than 6 months ago,2,4,5,5,3,4,5,3,4,4,3.8,4.0
21–23,Prefer not to say,Yes,Spirited Away,1 time,More than 6 months ago,3,3,4,2,3,2,3,2,2,4,3.0,2.6
21–23,Prefer not to say,Yes,Good Will Hunting,1 time,Within last 1 month,2,3,3,2,5,3,4,4,4,4,3.0,3.8
21–23,Female,Yes,Interstellar,2–3 times,More than 6 months ago,4,4,5,5,5,4,4,3,3,3,4.6,3.4
21–23,Female,Yes,If Beale Street Could Talk,More than 3 times,1–6 months ago,4,4,5,4,5,3,3,4,4,2,4.4,3.2
18–20,Female,Yes,The Edge of Seventeen,More than 3 times,1–6 months ago,2,1,1,1,2,3,1,2,2,2,1.4,2.0
18–20,Female,Yes,Wonder,1 time,More than 6 months ago,4,5,3,4,5,4,3,4,4,4,4.2,3.8
21–23,Male,Yes,The Social Network,More than 3 times,1–6 months ago,4,3,4,3,4,2,3,4,3,3,3.6,3.0
18–20,Female,Yes,To All the Boys I've Loved Before,2–3 times,1–6 months ago,5,4,3,5,3,5,3,3,4,3,4.0,3.6
18–20,Female,Yes,The Spectacular Now,2–3 times,Within last 1 month,2,1,1,2,2,1,2,3,2,1,1.6,1.8
21–23,Female,Yes,Little Women,1 time,Within last 1 month,3,5,2,2,4,3,2,3,2,3,3.2,2.6
18–20,Female,Yes,Clueless,1 time,Within last 1 month,4,4,4,3,2,4,3,5,3,3,3.4,3.6
21–23,Female,Yes,Room,2–3 times,1–6 months ago,4,4,5,5,5,4,4,5,5,5,4.6,4.6
24 or above,Female,Yes,Mystic River,1 time,1–6 months ago,4,5,5,5,3,4,3,3,4,3,4.4,3.4
24 or above,Female,Yes,The Barbarian Invasions,1 time,More than 6 months ago,5,4,5,5,5,3,3,4,3,1,4.8,2.8
Under 18,Male,Yes,Spirited Away,More than 3 times,Within last 1 month,4,3,3,4,4,2,3,2,4,2,3.6,2.6
24 or above,Male,Yes,A River Runs Through It,2–3 times,More than 6 months ago,4,3,3,2,5,3,5,4,4,4,3.4,4.0
21–23,Prefer not to say,Yes,Pan's Labyrinth,2–3 times,1–6 months ago,4,3,4,5,4,2,3,3,4,3,4.0,3.0
21–23,Female,Yes,Drive My Car,1 time,Within last 1 month,5,4,2,4,3,4,3,2,2,2,3.6,2.6
24 or above,Female,Yes,Son of Saul,1 time,1–6 months ago,3,3,4,3,3,3,3,2,4,4,3.2,3.2
21–23,Female,Yes,The Pursuit of Happyness,1 time,1–6 months ago,5,4,2,3,4,3,3,3,3,3,3.6,3.0
21–23,Male,Yes,Winter's Bone,1 time,Within last 1 month,4,5,3,4,3,3,3,5,4,4,3.8,3.8
24 or above,Female,Yes,Brief Encounter,2–3 times,More than 6 months ago,5,5,5,5,5,4,4,5,4,4,5.0,4.2
21–23,Male,Yes,The Father,1 time,Within last 1 month,2,4,4,2,3,3,2,3,4,3,3.0,3.0
Under 18,Prefer not to say,Yes,Your Name,2–3 times,Within last 1 month,4,3,4,4,5,4,3,5,3,4,4.0,3.8
24 or above,Female,Yes,Cries and Whispers,1 time,More than 6 months ago,1,2,2,2,1,3,2,2,3,3,1.6,2.6
24 or above,Female,Yes,Ordinary People,1 time,Within last 1 month,4,3,3,3,4,2,2,2,2,1,3.4,1.8
24 or above,Male,Yes,The Diving Bell and the Butterfly,1 time,1–6 months ago,3,4,4,3,4,3,3,3,3,4,3.6,3.2
Under 18,Male,Yes,Lilo and Stitch,More than 3 times,Within last 1 month,4,5,3,4,4,5,5,3,5,5,4.0,4.6
24 or above,Female,Yes,The Barbarian Invasions,2–3 times,Within last 1 month,5,5,5,5,5,4,5,4,5,5,5.0,4.6
18–20,Prefer not to say,Yes,Wonder,1 time,1–6 months ago,2,3,3,3,3,2,3,2,2,3,2.8,2.4
18–20,Female,Yes,Joker,1 time,1–6 months ago,4,3,3,3,4,3,5,4,4,4,3.4,4.0
24 or above,Male,Yes,Ghost,1 time,More than 6 months ago,3,3,3,3,3,1,3,4,3,2,3.0,2.6
18–20,Female,Yes,Love Rosie,More than 3 times,1–6 months ago,3,4,3,4,2,3,2,3,3,3,3.2,2.8
24 or above,Female,Yes,The Theory of Everything,1 time,More than 6 months ago,4,5,4,4,3,4,3,3,4,2,4.0,3.2
24 or above,Male,Yes,The Way We Were,1 time,1–6 months ago,5,5,5,4,4,4,5,3,3,3,4.6,3.6
21–23,Female,Yes,Incendies,2–3 times,1–6 months ago,3,3,3,3,1,3,4,3,2,3,2.6,3.0
18–20,Female,Yes,The Fault in Our Stars,1 time,Within last 1 month,2,3,4,2,2,3,3,2,3,3,2.6,2.8
18–20,Male,Yes,The Perks of Being a Wallflower,2–3 times,Within last 1 month,4,3,4,3,3,4,3,4,4,3,3.4,3.6
18–20,Male,Yes,All the Bright Places,1 time,Within last 1 month,5,4,5,5,5,5,5,4,4,4,4.8,4.4
21–23,Female,Yes,Nobody Knows,2–3 times,Within last 1 month,5,5,3,4,4,4,4,5,3,4,4.2,4.0
21–23,Female,Yes,Good Will Hunting,1 time,Within last 1 month,2,1,1,3,2,2,1,1,2,2,1.8,1.6
24 or above,Female,Yes,A River Runs Through It,1 time,Within last 1 month,4,4,5,3,5,4,3,5,4,5,4.2,4.2
Under 18,Male,Yes,Finding Nemo,2–3 times,Within last 1 month,4,2,5,3,2,4,4,4,2,4,3.2,3.6
21–23,Female,Yes,Spirited Away,1 time,1–6 months ago,2,1,3,2,3,1,3,4,1,3,2.2,2.4
Under 18,Male,Yes,Aladdin,2–3 times,Within last 1 month,5,5,5,5,5,4,4,5,5,5,5.0,4.6
18–20,Male,Yes,Legally Blonde,1 time,Within last 1 month,4,4,3,3,3,3,2,4,5,2,3.4,3.2
24 or above,Male,Yes,Titanic,1 time,1–6 months ago,5,5,3,3,4,2,3,3,5,3,4.0,3.2
21–23,Male,Yes,The Pursuit of Happyness,2–3 times,Within last 1 month,4,3,3,3,3,2,3,3,5,4,3.2,3.4
21–23,Male,Yes,Spotlight,1 time,Within last 1 month,2,4,4,4,4,4,3,2,2,3,3.6,2.8
21–23,Prefer not to say,Yes,Drive My Car,1 time,Within last 1 month,4,2,4,5,3,4,4,3,2,2,3.6,3.0
21–23,Male,Yes,No Country for Old Men,2–3 times,1–6 months ago,4,4,4,4,4,3,5,3,3,5,4.0,3.8
24 or above,Male,Yes,Braveheart,1 time,Within last 1 month,3,3,4,3,4,4,4,4,3,3,3.4,3.6
Under 18,Female,Yes,My Neighbor Totoro,2–3 times,More than 6 months ago,5,4,5,4,4,4,3,3,4,4,4.4,3.6
18–20,Female,Yes,Love Simon,2–3 times,1–6 months ago,3,4,4,3,4,3,3,4,3,2,3.6,3.0
24 or above,Female,Yes,Belfast,1 time,1–6 months ago,2,3,3,1,2,1,3,2,3,2,2.2,2.2
Under 18,Male,Yes,Pinocchio,2–3 times,Within last 1 month,4,4,5,4,4,4,4,3,3,4,4.2,3.6
Under 18,Female,Yes,Howl's Moving Castle,More than 3 times,Within last 1 month,3,3,4,3,3,3,4,3,3,3,3.2,3.2
18–20,Female,Yes,Eighth Grade,More than 3 times,1–6 months ago,5,4,5,4,5,5,5,5,5,5,4.6,5.0
18–20,Female,Yes,Marriage Story,1 time,More than 6 months ago,4,5,4,4,5,5,4,5,3,3,4.4,4.0
21–23,Female,Yes,There Will Be Blood,1 time,Within last 1 month,5,5,4,4,4,4,3,5,5,4,4.4,4.2
Under 18,Female,Yes,Up,More than 3 times,Within last 1 month,4,2,3,2,3,4,4,3,3,4,2.8,3.6
24 or above,Female,Yes,Blue Valentine,2–3 times,1–6 months ago,3,2,1,2,2,2,3,4,1,3,2.0,2.6
21–23,Female,Yes,About Time,More than 3 times,1–6 months ago,2,2,2,2,2,2,2,2,1,1,2.0,1.6
24 or above,Female,Yes,Life is Beautiful,1 time,More than 6 months ago,2,2,2,2,4,5,3,2,3,2,2.4,3.0
24 or above,Prefer not to say,Yes,A Grief Observed,1 time,1–6 months ago,2,1,1,1,3,2,2,1,1,2,1.6,1.6
24 or above,Female,Yes,12 Years a Slave,1 time,More than 6 months ago,3,4,3,4,4,3,3,2,2,2,3.6,2.4
21–23,Male,Yes,Nightcrawler,2–3 times,1–6 months ago,5,4,5,5,5,4,3,5,5,5,4.8,4.4
24 or above,Male,Yes,A Man Called Ove,2–3 times,Within last 1 month,1,2,2,3,2,2,3,2,3,3,2.0,2.6
21–23,Female,Yes,The Boy in the Striped Pyjamas,2–3 times,More than 6 months ago,4,5,4,3,5,5,4,5,3,4,4.2,4.2
24 or above,Male,Yes,Sense and Sensibility,1 time,Within last 1 month,4,4,4,4,5,4,3,4,3,3,4.2,3.4
18–20,Male,Yes,Twilight,2–3 times,1–6 months ago,4,4,3,3,2,3,5,3,4,3,3.2,3.6
21–23,Female,Yes,The Kite Runner,1 time,1–6 months ago,5,5,4,5,5,4,3,3,3,5,4.8,3.6
18–20,Male,Yes,Portrait of a Lady on Fire,1 time,More than 6 months ago,5,4,4,4,5,3,2,5,4,4,4.4,3.6
24 or above,Female,Yes,Pride and Prejudice,2–3 times,Within last 1 month,2,3,4,3,2,3,3,1,2,2,2.8,2.2
18–20,Female,Yes,Boyhood,1 time,1–6 months ago,4,5,5,4,4,4,2,3,3,4,4.4,3.2
21–23,Female,Yes,Never Let Me Go,2–3 times,More than 6 months ago,5,5,4,5,5,3,5,5,4,4,4.8,4.2
21–23,Female,Yes,Good Will Hunting,More than 3 times,Within last 1 month,5,4,5,5,5,3,4,4,3,4,4.8,3.6
21–23,Female,Yes,Past Lives,1 time,More than 6 months ago,3,4,3,2,3,3,1,2,4,3,3.0,2.6
24 or above,Female,Yes,Cries and Whispers,1 time,More than 6 months ago,1,2,1,2,2,1,1,3,2,1,1.6,1.6
21–23,Male,Yes,Manchester by the Sea,2–3 times,Within last 1 month,4,4,4,4,5,4,5,4,5,4,4.2,4.4
18–20,Male,Yes,La La Land,More than 3 times,Within last 1 month,1,1,2,3,2,2,3,1,1,2,1.8,1.8
21–23,Female,Yes,Drive My Car,1 time,1–6 months ago,4,3,5,5,4,3,3,5,3,4,4.2,3.6
21–23,Prefer not to say,Yes,Bohemian Rhapsody,1 time,Within last 1 month,5,4,5,4,3,5,4,5,5,5,4.2,4.8
24 or above,Prefer not to say,Yes,Cries and Whispers,2–3 times,1–6 months ago,2,1,1,1,3,1,4,4,3,2,1.6,2.8
18–20,Female,Yes,Titanic,1 time,More than 6 months ago,2,3,3,3,3,3,4,2,3,4,2.8,3.2
24 or above,Male,Yes,Affliction,1 time,1–6 months ago,3,3,2,3,2,3,2,4,4,2,2.6,3.0
24 or above,Female,Yes,The Theory of Everything,2–3 times,Within last 1 month,3,4,5,4,4,5,4,5,3,3,4.0,4.0
24 or above,Female,Yes,Out of Africa,2–3 times,1–6 months ago,3,5,3,4,4,5,3,3,3,4,3.8,3.6
Under 18,Male,Yes,Onward,2–3 times,Within last 1 month,4,5,4,5,3,4,3,3,5,4,4.2,3.8
18–20,Female,Yes,The Perks of Being a Wallflower,1 time,1–6 months ago,2,2,3,3,5,1,2,2,1,1,3.0,1.4
24 or above,Female,Yes,When Harry Met Sally,1 time,Within last 1 month,4,3,5,3,3,3,2,4,5,4,3.6,3.6
18–20,Female,Yes,Where the Crawdads Sing,2–3 times,1–6 months ago,3,2,3,3,4,1,3,2,3,1,3.0,2.0
21–23,Male,Yes,Bohemian Rhapsody,2–3 times,Within last 1 month,4,3,5,3,4,3,5,2,4,4,3.8,3.6
18–20,Female,Yes,Spider-Man Into the Spider-Verse,1 time,1–6 months ago,2,2,3,3,4,2,3,2,3,1,2.8,2.2
24 or above,Male,Yes,Platoon,1 time,1–6 months ago,4,3,4,4,3,5,5,5,4,4,3.6,4.6
21–23,Female,Yes,The Imitation Game,More than 3 times,More than 6 months ago,5,3,4,4,5,4,3,4,4,5,4.2,4.0
18–20,Prefer not to say,Yes,Inception,2–3 times,1–6 months ago,3,5,2,4,2,4,4,4,3,4,3.2,3.8
18–20,Female,Yes,The Spectacular Now,1 time,1–6 months ago,3,3,4,3,4,2,4,4,3,5,3.4,3.6
24 or above,Male,Yes,Boys Don't Cry,More than 3 times,Within last 1 month,4,3,3,5,4,4,5,4,3,4,3.8,4.0
21–23,Female,Yes,Moonlight,1 time,1–6 months ago,4,5,5,4,5,3,5,3,4,4,4.6,3.8
24 or above,Female,Yes,Beaches,More than 3 times,1–6 months ago,2,1,4,3,4,1,2,2,3,2,2.8,2.0
24 or above,Male,Yes,Room,2–3 times,More than 6 months ago,3,4,5,5,5,4,5,4,4,5,4.4,4.4
24 or above,Female,Yes,Brokeback Mountain,2–3 times,1–6 months ago,5,5,4,5,5,4,4,5,5,5,4.8,4.6
21–23,Male,Yes,The Kite Runner,2–3 times,More than 6 months ago,3,2,2,3,3,3,4,3,4,3,2.6,3.4
18–20,Prefer not to say,Yes,Twilight,2–3 times,Within last 1 month,5,5,5,4,3,5,4,4,5,4,4.4,4.4
21–23,Male,Yes,Brooklyn,1 time,More than 6 months ago,3,3,5,2,3,2,2,3,2,4,3.2,2.6
Under 18,Female,Yes,Finding Dory,More than 3 times,1–6 months ago,5,5,5,5,4,2,3,5,5,3,4.8,3.6
18–20,Prefer not to say,Yes,The Fault in Our Stars,2–3 times,More than 6 months ago,5,5,4,5,4,4,4,3,4,4,4.6,3.8
24 or above,Male,Yes,Casablanca,1 time,More than 6 months ago,4,4,4,3,3,2,3,2,3,4,3.6,2.8
18–20,Male,Yes,After We Collided,2–3 times,1–6 months ago,3,2,2,2,3,2,2,1,1,1,2.4,1.4
18–20,Female,Yes,Ferris Bueller,1 time,Within last 1 month,5,4,4,5,3,5,5,4,5,4,4.2,4.6
18–20,Male,Yes,Logan,2–3 times,Within last 1 month,4,4,5,4,4,4,5,5,5,5,4.2,4.8
24 or above,Female,Yes,Beaches,1 time,More than 6 months ago,1,2,2,2,1,1,2,2,3,3,1.6,2.2
21–23,Male,Yes,Your Name,More than 3 times,1–6 months ago,4,5,5,5,4,2,5,5,5,3,4.6,4.0
24 or above,Female,Yes,Glory,2–3 times,Within last 1 month,5,4,5,5,4,5,4,3,4,3,4.6,3.8
Under 18,Female,Yes,Howl's Moving Castle,More than 3 times,1–6 months ago,5,4,3,3,5,3,3,4,3,4,4.0,3.4
24 or above,Male,Yes,The Savages,2–3 times,More than 6 months ago,3,2,4,5,2,4,3,2,3,5,3.2,3.4
21–23,Female,Yes,Rocketman,More than 3 times,More than 6 months ago,3,5,2,3,3,4,2,2,1,2,3.2,2.2
18–20,Female,Yes,Normal People,1 time,More than 6 months ago,1,2,2,3,2,3,3,3,3,2,2.0,2.8
18–20,Female,Yes,The Hunger Games,More than 3 times,Within last 1 month,5,5,5,5,4,4,4,4,4,4,4.8,4.0
24 or above,Male,Yes,On Golden Pond,1 time,1–6 months ago,4,4,3,4,5,4,4,4,4,4,4.0,4.0
Under 18,Female,Yes,Balto,More than 3 times,Within last 1 month,4,3,3,4,4,5,5,2,3,5,3.6,4.0
24 or above,Female,Yes,The Savages,2–3 times,More than 6 months ago,3,4,2,5,4,3,3,4,4,4,3.6,3.6
21–23,Male,Yes,First Reformed,2–3 times,1–6 months ago,3,3,2,2,3,3,3,3,3,2,2.6,2.8
Under 18,Female,Yes,Zootopia,2–3 times,1–6 months ago,1,2,2,1,1,1,1,2,2,1,1.4,1.4
21–23,Prefer not to say,Yes,The Boy in the Striped Pyjamas,1 time,1–6 months ago,4,4,5,4,5,2,3,5,5,3,4.4,3.6
24 or above,Male,Yes,Atonement,2–3 times,1–6 months ago,5,5,5,4,5,4,4,4,3,4,4.8,3.8
21–23,Male,Yes,12 Years a Slave,1 time,More than 6 months ago,4,4,5,4,3,3,4,5,4,3,4.0,3.8
21–23,Male,Yes,Amour,1 time,Within last 1 month,4,4,3,4,4,5,3,4,5,5,3.8,4.4
21–23,Female,Yes,Before Sunrise,1 time,Within last 1 month,3,3,4,3,3,3,3,4,3,1,3.2,2.8
21–23,Male,Yes,Aftersun,2–3 times,Within last 1 month,5,4,5,3,3,3,4,4,4,4,4.0,3.8
18–20,Male,Yes,Five Feet Apart,1 time,Within last 1 month,3,2,2,5,4,4,4,3,4,4,3.2,3.8
21–23,Prefer not to say,Yes,Manchester by the Sea,2–3 times,More than 6 months ago,3,3,3,4,4,2,3,2,3,4,3.4,2.8
Under 18,Female,Yes,How to Train Your Dragon,2–3 times,Within last 1 month,5,5,5,4,5,3,5,5,5,5,4.8,4.6
21–23,Female,Yes,Pride and Prejudice,2–3 times,1–6 months ago,4,3,4,4,4,4,4,3,2,3,3.8,3.2
18–20,Male,Yes,Arrival,1 time,More than 6 months ago,5,4,5,5,4,4,4,2,2,4,4.6,3.2
Under 18,Male,Yes,Mulan,2–3 times,1–6 months ago,2,4,2,3,4,4,5,4,4,3,3.0,4.0
24 or above,Male,Yes,The Zone of Interest,More than 3 times,More than 6 months ago,4,4,5,2,5,4,3,2,3,4,4.0,3.2
21–23,Male,Yes,The Pursuit of Happyness,1 time,More than 6 months ago,5,4,4,4,4,4,3,4,5,5,4.2,4.2
21–23,Female,Yes,The Social Network,2–3 times,More than 6 months ago,4,4,5,4,4,4,5,5,4,4,4.2,4.4
18–20,Female,Yes,Crazy Rich Asians,2–3 times,Within last 1 month,5,5,4,4,4,5,5,4,3,5,4.4,4.4
24 or above,Female,Yes,Past Lives,1 time,Within last 1 month,3,4,4,4,3,3,2,3,4,3,3.6,3.0
24 or above,Female,Yes,Glory,1 time,Within last 1 month,4,5,5,4,5,4,5,3,5,5,4.6,4.4
21–23,Female,Yes,Yi Yi,1 time,More than 6 months ago,3,3,3,3,3,3,4,2,2,2,3.0,2.6
24 or above,Female,Yes,When Harry Met Sally,2–3 times,More than 6 months ago,4,3,4,5,2,3,3,5,4,3,3.6,3.6
21–23,Prefer not to say,Yes,The Boy in the Striped Pyjamas,More than 3 times,1–6 months ago,3,3,3,4,3,2,3,3,3,2,3.2,2.6
21–23,Prefer not to say,Yes,About Time,2–3 times,1–6 months ago,3,5,3,4,4,5,4,4,5,5,3.8,4.6
18–20,Female,Yes,Spider-Man Into the Spider-Verse,2–3 times,Within last 1 month,5,5,5,5,5,4,5,4,5,4,5.0,4.4
24 or above,Female,Yes,Ordinary People,1 time,1–6 months ago,5,5,5,3,5,5,4,4,5,4,4.6,4.4
Under 18,Female,Yes,Brave,More than 3 times,Within last 1 month,4,5,5,4,4,4,2,3,5,4,4.4,3.6
18–20,Female,Yes,Crazy Rich Asians,More than 3 times,Within last 1 month,5,3,4,5,4,3,4,5,4,3,4.2,3.8
21–23,Female,Yes,Call Me by Your Name,1 time,1–6 months ago,2,3,2,2,2,2,2,1,2,3,2.2,2.0
24 or above,Male,Yes,Wit,1 time,1–6 months ago,4,2,2,3,4,3,4,4,4,4,3.0,3.8
18–20,Male,Yes,Logan,More than 3 times,Within last 1 month,5,5,5,5,5,3,5,4,3,2,5.0,3.4
21–23,Female,Yes,Schindler's List,1 time,1–6 months ago,4,5,4,4,5,4,4,5,5,5,4.4,4.6
21–23,Female,Yes,Hachi A Dog's Tale,More than 3 times,1–6 months ago,5,5,5,4,5,5,3,5,4,5,4.8,4.4
24 or above,Male,Yes,Ordinary People,More than 3 times,More than 6 months ago,2,1,4,3,3,4,2,4,3,3,2.6,3.2
18–20,Male,Yes,After We Collided,2–3 times,1–6 months ago,5,3,3,4,4,3,4,3,4,3,3.8,3.4
21–23,Female,Yes,Forrest Gump,2–3 times,More than 6 months ago,5,4,5,5,5,5,5,4,3,5,4.8,4.4
Under 18,Male,Yes,Castle in the Sky,1 time,Within last 1 month,3,4,5,5,5,5,5,4,4,4,4.4,4.4
24 or above,Male,Yes,Come and See,1 time,Within last 1 month,2,2,4,2,3,3,3,4,2,3,2.6,3.0
Under 18,Male,Yes,Encanto,2–3 times,1–6 months ago,2,3,2,1,2,3,3,2,1,2,2.0,2.2
Under 18,Female,Yes,Moana,More than 3 times,1–6 months ago,5,4,5,5,5,5,4,3,4,5,4.8,4.2
24 or above,Male,Yes,Eleanor Oliphant is Completely Fine,1 time,1–6 months ago,3,3,2,3,4,3,2,2,2,3,3.0,2.4
24 or above,Male,Yes,The Hours,2–3 times,1–6 months ago,4,5,3,4,4,4,4,5,4,5,4.0,4.4
Under 18,Female,Yes,Encanto,2–3 times,Within last 1 month,4,5,3,4,5,5,3,4,5,3,4.2,4.0
18–20,Female,Yes,Call Me by Your Name,1 time,Within last 1 month,4,2,2,3,3,3,3,4,5,4,2.8,3.8
21–23,Female,Yes,The Pianist,More than 3 times,More than 6 months ago,3,3,4,4,4,3,1,3,3,3,3.6,2.6
21–23,Male,Yes,Little Women,1 time,Within last 1 month,4,4,4,5,3,5,2,4,3,4,4.0,3.6
Under 18,Female,Yes,Matilda,More than 3 times,1–6 months ago,3,3,2,3,3,3,2,1,3,1,2.8,2.0
18–20,Male,Yes,About Time,More than 3 times,More than 6 months ago,3,5,4,4,4,3,4,4,4,4,4.0,3.8
21–23,Female,Yes,Short Term 12,1 time,Within last 1 month,3,3,4,4,4,3,3,3,2,2,3.6,2.6
24 or above,Male,Yes,Away from Her,2–3 times,1–6 months ago,4,5,5,3,5,5,3,4,4,3,4.4,3.8
21–23,Prefer not to say,Yes,Spirited Away,2–3 times,1–6 months ago,3,5,5,2,4,4,3,5,4,1,3.8,3.4
24 or above,Female,Yes,Saving Private Ryan,More than 3 times,1–6 months ago,3,3,5,5,3,5,5,5,4,4,3.8,4.6
Under 18,Female,Yes,Castle in the Sky,More than 3 times,1–6 months ago,5,3,3,3,3,3,4,4,1,3,3.4,3.0
18–20,Female,Yes,Joker,More than 3 times,1–6 months ago,1,1,2,4,2,4,3,2,2,3,2.0,2.8
21–23,Male,Yes,The Shawshank Redemption,1 time,More than 6 months ago,4,4,4,3,4,4,3,3,4,5,3.8,3.8
24 or above,Female,Yes,Casablanca,1 time,Within last 1 month,2,4,4,4,5,4,4,3,4,3,3.8,3.6
Under 18,Male,Yes,Anastasia,More than 3 times,Within last 1 month,1,1,1,1,1,1,2,2,2,1,1.0,1.6
24 or above,Male,Yes,Wild Strawberries,1 time,1–6 months ago,4,3,3,3,3,2,2,3,3,3,3.2,2.6
24 or above,Male,Yes,Affliction,2–3 times,1–6 months ago,5,5,4,5,4,5,2,4,4,5,4.6,4.0
18–20,Male,Yes,P.S. I Love You,1 time,Within last 1 month,5,3,4,5,4,5,4,4,4,4,4.2,4.2
Under 18,Female,Yes,The Lion King,1 time,1–6 months ago,3,4,4,4,3,3,4,3,2,4,3.6,3.2
21–23,Female,Yes,Winter's Bone,2–3 times,1–6 months ago,3,4,4,4,5,3,4,3,5,2,4.0,3.4
18–20,Male,Yes,La La Land,1 time,Within last 1 month,3,3,4,3,2,2,2,1,1,2,3.0,1.6
21–23,Female,Yes,Brooklyn,1 time,More than 6 months ago,3,2,1,3,2,4,3,3,2,2,2.2,2.8
21–23,Male,Yes,Bohemian Rhapsody,1 time,1–6 months ago,5,4,5,4,5,4,5,5,5,4,4.6,4.6
Under 18,Male,Yes,Frozen,2–3 times,Within last 1 month,3,4,4,5,5,5,5,4,2,5,4.2,4.2
18–20,Male,Yes,Crazy Rich Asians,2–3 times,Within last 1 month,4,3,4,4,4,4,3,4,2,2,3.8,3.0
24 or above,Male,Yes,Past Lives,1 time,1–6 months ago,4,5,5,5,4,4,4,5,2,5,4.6,4.0
21–23,Prefer not to say,Yes,The Father,1 time,1–6 months ago,2,2,3,2,3,2,3,2,3,2,2.4,2.4
Under 18,Prefer not to say,Yes,Zootopia,1 time,Within last 1 month,3,2,3,2,2,2,2,2,2,1,2.4,1.8
